symbol,name,index,yf_ticker
MRO,Melrose Industries,FTSE100,MRO.L
MSLH,Marshalls,FTSE250,MSLH.L
MTLN,Metlen Energy & Metals,FTSE100,MTLN.L
MTO,Mitie,FTSE250,MTO.L
MTRO,Metro Bank,FTSE250,MTRO.L
MUT,Murray Income Trust,FTSE250,MUT.L
MWY,Mid Wynd International Investment Trust,FTSESmallCap,MWY.L
MYI,Murray International Trust,FTSE250,MYI.L
N91,Ninety One,FTSE250,N91.L
NAS,North Atlantic Smaller Companies Investment Trust,FTSE250,NAS.L
NBPE,NB Private Equity Partners,FTSE250,NBPE.L
NCC,NCC Group,FTSE250,NCC.L
NG,National Grid plc,FTSE100,NG.L
NRR,NewRiver,FTSESmallCap,NRR.L
NWG,NatWest Group,FTSE100,NWG.L
NXR,Norcros,FTSESmallCap,NXR.L
NXT,Next plc,FTSE100,NXT.L
OCDO,Ocado Group,FTSE250,OCDO.L
OCI,Oakley Capital Investments,FTSE250,OCI.L
OCN,Ocean Wilsons Holdings,FTSESmallCap,OCN.L
ONT,Oxford Nanopore Technologies,FTSE250,ONT.L
OSB,OSB Group,FTSE250,OSB.L
OTB,On The Beach Group,FTSESmallCap,OTB.L
OXB,Oxford Biomedica,FTSE250,OXB.L
OXIG,Oxford Instruments,FTSE250,OXIG.L
PAF,Pan African Resources,FTSE250,PAF.L
PAG,Paragon Banking Group,FTSE250,PAG.L
PAGE,PageGroup,FTSE250,PAGE.L
PCA,Palace Capital,FTSESmallCap,PCA.L
PCGH,Polar Capital Global Healthcare Trust,FTSE250,PCGH.L
PCT,Polar Capital Technology Trust,FTSE100,PCT.L
PDL,Petra Diamonds,FTSESmallCap,PDL.L
PETS,Pets at Home,FTSE250,PETS.L
PEY,Partners Group Private Equity,FTSE250,PEY.L
PFD,Premier Foods,FTSE250,PFD.L
PHAR,Pharos Energy,FTSESmallCap,PHAR.L
PHI,Pacific Horizon Investment Trust,FTSE250,PHI.L
PHP,Primary Health Properties,FTSE250,PHP.L
PIN,Pantheon International,FTSE250,PIN.L
PINT,Pantheon Infrastructure,FTSE250,PINT.L
PLUS,Plus500,FTSE250,PLUS.L
PNL,Personal Assets Trust,FTSE250,PNL.L
PNN,Pennon Group,FTSE250,PNN.L
POLN,Pollen Street Group,FTSE250,POLN.L
PPET,Patria Private Equity Trust,FTSE250,PPET.L
PPH,PPHE Hotel Group,FTSE250,PPH.L
PRN,Princes Group,FTSE250,PRN.L
PRU,Prudential plc,FTSE100,PRU.L
PRV,Porvair,FTSESmallCap,PRV.L
PSDL,Phoenix Spree Deutschland,FTSESmallCap,PSDL.L
PSH,Pershing Square Holdings,FTSE100,PSH.L
PSN,Persimmon,FTSE100,PSN.L
PSON,Pearson plc,FTSE100,PSON.L
PTEC,Playtech,FTSE250,PTEC.L
QLT,Quilter,FTSE250,QLT.L
QQ,Qinetiq,FTSE250,QQ.L
RAT,Rathbones,FTSE250,RAT.L
RCH,Reach,FTSESmallCap,RCH.L
RCP,RIT Capital Partners,FTSE250,RCP.L
REC,Record,FTSESmallCap,REC.L
REL,RELX,FTSE100,REL.L
RHIM,RHI Magnesita,FTSE250,RHIM.L
RICA,Ruffer Investment Company,FTSE250,RICA.L
RIO,Rio Tinto,FTSE100,RIO.L
RKT,Reckitt,FTSE100,RKT.L
RMV,Rightmove,FTSE100,RMV.L
RNK,Rank Group,FTSE250,RNK.L
ROOF,Atrato Onsite Energy,FTSESmallCap,ROOF.L
ROR,Rotork,FTSE250,ROR.L
RPI,Raspberry Pi Holdings,FTSE250,RPI.L
RR,Rolls-Royce Holdings,FTSE100,RR.L
RS1,RS Group,FTSE250,RS1.L
RSE,Riverstone Energy,FTSESmallCap,RSE.L
RSW,Renishaw,FTSE250,RSW.L
RTO,Rentokil Initial,FTSE100,RTO.L
RTW,RTW Biotech Opportunities,FTSE250,RTW.L
RWA,Robert Walters,FTSESmallCap,RWA.L
SAFE,Safestore,FTSE250,SAFE.L
SAGA,Saga,FTSE250,SAGA.L
SAIN,Scottish American Investment Company,FTSE250,SAIN.L
SBRE,Sabre Insurance,FTSESmallCap,SBRE.L
SBRY,Sainsbury's,FTSE100,SBRY.L
SCF,Schroder Income Growth Fund,FTSESmallCap,SCF.L
SCT,Softcat,FTSE250,SCT.L
SDLF,Standard Life,FTSE100,SDLF.L
SDP,Schroder AsiaPacific Fund,FTSE250,SDP.L
SDR,Schroders,FTSE100,SDR.L
SDY,Speedy Hire,FTSESmallCap,SDY.L
SEC,Strategic Equity Capital,FTSESmallCap,SEC.L
SEIT,SDCL Energy Efficiency Income Trust,FTSE250,SEIT.L
SEQI,Sequoia Economic Infrastructure Income Fund,FTSE250,SEQI.L
SFR,Severfield,FTSESmallCap,SFR.L
SGE,Sage Group,FTSE100,SGE.L
SGRO,Segro,FTSE100,SGRO.L
SHAW,Shawbrook Bank,FTSE250,SHAW.L
SHC,Shaftesbury Capital,FTSE250,SHC.L
SHEL,Shell plc,FTSE100,SHEL.L
SHI,SIG,FTSESmallCap,SHI.L
SMIN,Smiths Group,FTSE100,SMIN.L
SMT,Scottish Mortgage Investment Trust,FTSE100,SMT.L
SMWH,WHSmith,FTSE250,SMWH.L
SN,Smith & Nephew,FTSE100,SN.L
SNR,Senior,FTSE250,SNR.L
SNWS,Smiths News,FTSESmallCap,SNWS.L
SOI,Schroder Oriental Income Fund,FTSE250,SOI.L
SPI,Spire Healthcare,FTSE250,SPI.L
SPX,Spirax Group,FTSE100,SPX.L
SRE,Sirius Real Estate,FTSE250,SRE.L
SRP,Serco,FTSE250,SRP.L
SSE,SSE plc,FTSE100,SSE.L
SSPG,SSP Group,FTSE250,SSPG.L
STAN,Standard Chartered,FTSE100,STAN.L
STB,Secure Trust Bank,FTSESmallCap,STB.L
STJ,St. James's Place,FTSE100,STJ.L
STVG,STV Group,FTSESmallCap,STVG.L
SUPR,Supermarket Income REIT,FTSE250,SUPR.L
SUS,S & U,FTSESmallCap,SUS.L
SVS,Savills,FTSE250,SVS.L
SVT,Severn Trent,FTSE100,SVT.L
SWEF,Starwood European Real Estate Finance,FTSESmallCap,SWEF.L
SYNC,Syncona,FTSE250,SYNC.L
SYNT,Synthomer,FTSESmallCap,SYNT.L
TATE,Tate & Lyle,FTSE250,TATE.L
TBCG,TBC Bank,FTSE250,TBCG.L
TCAP,TP ICAP,FTSE250,TCAP.L
TEM,Templeton Emerging Markets Investment Trust,FTSE250,TEM.L
TEP,Telecom Plus,FTSE250,TEP.L
TET,Treatt,FTSESmallCap,TET.L
TFIF,Twentyfour Income Fund,FTSE250,TFIF.L
THG,THG,FTSE250,THG.L
THRL,Target Healthcare REIT,FTSE250,THRL.L
TMPL,Temple Bar Investment Trust,FTSE250,TMPL.L
TPK,Travis Perkins,FTSE250,TPK.L
TPT,Topps Tiles,FTSESmallCap,TPT.L
TRI,Trifast,FTSESmallCap,TRI.L
TRIG,The Renewables Infrastructure Group,FTSE250,TRIG.L
TRN,Trainline,FTSE250,TRN.L
TRST,Trustpilot,FTSE250,TRST.L
TRY,TR Property Investment Trust,FTSE250,TRY.L
TSCO,Tesco,FTSE100,TSCO.L
TTG,TT Electronics,FTSESmallCap,TTG.L
TW,Taylor Wimpey,FTSE250,TW.L
UEM,Utilico Emerging Markets,FTSE250,UEM.L
UKW,Greencoat UK Wind,FTSE250,UKW.L
ULTP,Ultimate Products,FTSESmallCap,ULTP.L
ULVR,Unilever,FTSE100,ULVR.L
USA,Baillie Gifford US Growth Trust,FTSE250,USA.L
UTG,Unite Group,FTSE250,UTG.L
UU,United Utilities,FTSE100,UU.L
VANQ,Vanquis Banking Group,FTSESmallCap,VANQ.L
VCT,Victrex,FTSE250,VCT.L
VEIL,Vietnam Enterprise Investments,FTSE250,VEIL.L
VID,Videndum,FTSESmallCap,VID.L
VOD,Vodafone Group,FTSE100,VOD.L
VOF,VinaCapital Vietnam Opportunity Fund,FTSE250,VOF.L
VSVS,Vesuvius,FTSE250,VSVS.L
VTY,Vistry Group,FTSE250,VTY.L
WEIR,Weir Group,FTSE100,WEIR.L
WIX,Wickes,FTSE250,WIX.L
WIZZ,Wizz Air,FTSE250,WIZZ.L
WKP,Workspace Group,FTSE250,WKP.L
WOSG,Watches of Switzerland,FTSE250,WOSG.L
WPP,WPP,FTSE250,WPP.L
WTB,Whitbread,FTSE100,WTB.L
WWH,Worldwide Healthcare Trust,FTSE250,WWH.L
XAR,Xaar,FTSESmallCap,XAR.L
XPP,XP Power,FTSE250,XPP.L
XPS,XPS Pensions,FTSE250,XPS.L
ZIG,Zigup,FTSE250,ZIG.L
ZTF,Zotefoams,FTSESmallCap,ZTF.L
