Commodity,HSCode,Value_2020_M,Value_2023_M,Growth_5yr_%,Opportunity
GREY,52054810,28.31,465.1,1542.882373719534,EMERGING_OPPORTUNITY
OF COTTON: OTHER,62046290,152.24,454.75,198.70599054125066,EMERGING_OPPORTUNITY
"OTHER MCHNCL SHOVLS,EXCVTRS AND SHOVL LOADRS",84295900,172.95,450.73,160.6128938999711,EMERGING_OPPORTUNITY
PLSTIC INSLTD CNDCTRS FR <= 1000V NOT FITTED WITH CONNECTORS,85444920,176.85,434.77,145.84110828385636,EMERGING_OPPORTUNITY
COFFEE ROB CHERRY OTHER GRADE,09011149,116.83,405.47,247.05983052298217,EMERGING_OPPORTUNITY
OTHER LEAD-ACID ACCUMULATORS,85072000,177.86,404.8,127.59473743393679,EMERGING_OPPORTUNITY
OTHER SALTS,25010090,135.93,401.8,195.5933200912234,EMERGING_OPPORTUNITY
BRIGHT BARS-NCKL CHROMIUM AUSTENITIC TYPE,72223012,112.74,399.93,254.7365620010644,EMERGING_OPPORTUNITY
BRIGHT BARS-NCKL CHROMIUM AUSTENITIC TYPE,72221112,7.15,399.93,5493.426573426574,EMERGING_OPPORTUNITY
"PRTS OF OTHR MACNRY OF HD 8426,8429,8430",84314990,156.91,382.38,143.693837231534,EMERGING_OPPORTUNITY
"BANANAS, FRESH",08039010,99.94,378.2,278.42705623374025,EMERGING_OPPORTUNITY
SCOOTERS WTH CYLNDR CPCTY >75 BT<=250 CC,87112019,151.74,377.11,148.5237906946092,EMERGING_OPPORTUNITY
POLYPROPYLENE,39169027,0.14,376.68,268957.14285714284,EMERGING_OPPORTUNITY
"BURLEY TOBACO, PARTLY/WHOLLY STMD/STRIPPED",24012040,70.39,376.26,434.5361557039352,EMERGING_OPPORTUNITY
BLACK TIGER SHRIMP (PENAEUS MONODON),03061740,72.97,375.91,415.15691380019194,EMERGING_OPPORTUNITY
"PROPS AND SMLR EQUIPMENT FOR SCAFFOLDING,   SHUTTERING OR PIT-PROPPING",73084000,158.0,372.01,135.4493670886076,EMERGING_OPPORTUNITY
SWEET BISCUITS,19053100,180.57,365.62,102.48103228664785,EMERGING_OPPORTUNITY
"OTHER(BOMBS,GRENADES ETC)",93069000,59.03,365.45,519.0919871251905,EMERGING_OPPORTUNITY
SPRK-IGNTN ENGINES FOR MOTOR CARS,84073410,89.68,359.59,300.97011596788576,EMERGING_OPPORTUNITY
SPRK-IGNTN ENGINES FOR MOTOR CARS,84073210,51.67,359.59,595.935746080898,EMERGING_OPPORTUNITY
"BEAMSCHANNELS,PILLARS AND GIRDERS PREPARED  FOR IN STRUCTURES",73089010,48.9,349.8,615.3374233128835,EMERGING_OPPORTUNITY
"PRTS OF OTHR MCHNRY AND MCHNCL APPLNCS,HVNG INDVDL FUNCTNS",84799090,148.68,339.71,128.4839924670433,EMERGING_OPPORTUNITY
OF COTTON: OTHER,62046290,152.24,338.73,122.49737256962689,EMERGING_OPPORTUNITY
COFFEE ROB CHERRY AB,09011141,112.1,337.84,201.37377341659231,EMERGING_OPPORTUNITY
PARTS OF TRANSFORMERS,85049010,158.61,336.77,112.3258306538049,EMERGING_OPPORTUNITY
"PRDCTS PAINTD,VRNSHD/COATD WTH PLSTCS",72107000,118.23,323.4,173.53463587921843,EMERGING_OPPORTUNITY
0THERS,84481900,3.94,321.62,8062.944162436548,EMERGING_OPPORTUNITY
0THERS,68109990,153.96,321.62,108.89841517277215,EMERGING_OPPORTUNITY
0THERS,95049090,8.15,321.62,3846.2576687116566,EMERGING_OPPORTUNITY
0THERS,84483990,19.67,321.62,1535.078800203355,EMERGING_OPPORTUNITY
0THERS,38180090,0.15,321.62,214313.33333333337,EMERGING_OPPORTUNITY
0THERS,15050090,2.66,321.62,11990.977443609021,EMERGING_OPPORTUNITY
0THERS,90049090,13.43,321.62,2294.787788533135,EMERGING_OPPORTUNITY
OTHER PRIMARY FORM,39081079,0.2,320.31,160055.0,EMERGING_OPPORTUNITY
"PRTS OF OTHR EXCVTNG,LVLNG,TMPNG AND        EXCVTNGMCHNRY FR EARTH MNRL/ORES,SLF-PRPLD",84314930,125.49,316.69,152.36273806677823,EMERGING_OPPORTUNITY
OTHR SPORT FTWR WITH OUTER SOLES OF RUBBER,64031920,154.42,315.85,104.5395674135475,EMERGING_OPPORTUNITY
OTHERS-OF-OTHR HTRCYCLC CMPNDS CNTNG AN UNFUSED PYRZL RING (W/N HYDRGNTD) IN THE STRUCTURE,29331999,128.78,310.88,141.40394471191178,EMERGING_OPPORTUNITY
OTHER AMINO SULPHONIC ANILINE ETC NES,29214290,92.06,309.09,235.74842494025634,EMERGING_OPPORTUNITY
OTHERS-OF-OTHER APPLIANCES :,84818090,129.61,308.7,138.176066661523,EMERGING_OPPORTUNITY
GREY,52054410,43.24,306.15,608.0249768732654,EMERGING_OPPORTUNITY
GREY,52054110,0.28,306.15,109239.28571428571,EMERGING_OPPORTUNITY
GREY,52054610,5.23,306.15,5753.728489483747,EMERGING_OPPORTUNITY
GREY,52054310,12.67,306.15,2316.337805840568,EMERGING_OPPORTUNITY
GREY,52054810,28.31,306.15,981.4199929353584,EMERGING_OPPORTUNITY
GREY,52053210,60.48,306.15,406.20039682539687,EMERGING_OPPORTUNITY
GREY,52054210,20.14,306.15,1420.109235352532,EMERGING_OPPORTUNITY
GREY,52051410,59.1,306.15,418.02030456852793,EMERGING_OPPORTUNITY
GREY,52053310,21.73,306.15,1308.8817303267372,EMERGING_OPPORTUNITY
GREY,52051510,0.19,306.15,161031.57894736843,EMERGING_OPPORTUNITY
GREY,52051110,26.7,306.15,1046.629213483146,EMERGING_OPPORTUNITY
GREY,52052110,8.7,306.15,3418.9655172413795,EMERGING_OPPORTUNITY
GREY,52053110,1.43,306.15,21309.090909090908,EMERGING_OPPORTUNITY
GREY,52053510,4.64,306.15,6498.060344827586,EMERGING_OPPORTUNITY
GREY,52051310,98.56,306.15,210.62297077922074,EMERGING_OPPORTUNITY
