symbol,train_hit_rate,test_hit_rate,test_mean_excess
UPWK,0.4,0.5,-4.40079
PKG,0.7142857142857143,0.5,-4.4366198
EPD,0.2857142857142857,0.5,-4.4389906
PPL,0.42857142857142855,0.0,-4.550111
PAGP,0.2857142857142857,0.0,-4.6646175
TRUP,0.42857142857142855,0.5,-4.6851015
RRR,0.42857142857142855,0.5,-4.8066463
GPI,0.7142857142857143,0.5,-4.849929
MCO,0.8571428571428571,0.0,-4.8834143
AHCO,0.2,0.5,-4.8942213
DOCU,0.4,0.5,-5.079302
PRLB,0.5714285714285714,0.5,-5.08753
PAA,0.42857142857142855,0.0,-5.3360405
BHR,0.0,0.5,-5.4078045
UBER,0.5,0.5,-5.4629507
KOPN,0.42857142857142855,0.5,-5.6497154
TMUS,0.42857142857142855,0.5,-5.6634274
MEC,0.5,0.5,-5.703967
ZUMZ,0.42857142857142855,0.5,-5.7110996
LEVI,0.0,0.5,-5.837631
CIVB,0.42857142857142855,0.0,-5.964255
GLRE,0.2857142857142857,0.0,-6.014489
DECK,0.7142857142857143,0.5,-6.0581093
GDOT,0.42857142857142855,0.5,-6.130665
PSTL,0.0,0.5,-6.1604443
WHWK,0.3333333333333333,0.5,-6.3129168
MSFT,0.8571428571428571,0.0,-6.3531036
INSW,0.5714285714285714,0.5,-6.420723
CPRX,0.5714285714285714,0.0,-6.582814
ULTA,0.42857142857142855,0.5,-6.6216755
ROST,0.5714285714285714,0.5,-6.64137
AFG,0.42857142857142855,0.0,-6.853718
NATH,0.2857142857142857,0.5,-6.9035053
STC,0.5714285714285714,0.0,-6.976056
BKE,0.5714285714285714,0.0,-7.096952
TW,0.75,0.5,-7.119605
BX,0.8571428571428571,0.5,-7.1418314
ROKU,0.5,0.5,-7.2132664
AZO,0.5714285714285714,0.0,-7.290142
LPX,0.5714285714285714,0.5,-7.313319
ASTE,0.14285714285714285,0.5,-7.315487
ALB,0.5714285714285714,0.5,-7.346306
ALTO,0.14285714285714285,0.5,-7.487587
CTAS,0.8571428571428571,0.0,-7.504243
MLM,0.42857142857142855,0.5,-7.5918436
GWW,0.7142857142857143,0.5,-7.6117935
VMC,0.5714285714285714,0.0,-7.6545534
XOMA,0.5714285714285714,0.5,-7.7636356
PANW,0.5714285714285714,0.5,-7.8626213
NSSC,0.7142857142857143,0.5,-7.8951473
RUN,0.2857142857142857,0.5,-7.9247284
DIS,0.42857142857142855,0.0,-7.967203
ASB,0.2857142857142857,0.0,-8.0171585
GAP,0.42857142857142855,0.0,-8.173901
ADSK,0.7142857142857143,0.5,-8.217007
NOW,0.7142857142857143,0.5,-8.378093
NTCT,0.14285714285714285,0.5,-8.412927
PEN,0.5714285714285714,0.5,-8.512703
DGX,0.42857142857142855,0.0,-8.520298
CTO,0.2857142857142857,0.0,-8.60421
SNA,0.42857142857142855,0.0,-8.623678
GNK,0.5714285714285714,0.5,-8.749535
HASI,0.42857142857142855,0.5,-8.804661
BHF,0.3333333333333333,0.5,-8.828932
MCS,0.2857142857142857,0.5,-8.867764
HLNE,0.8571428571428571,0.5,-8.910155
WSFS,0.14285714285714285,0.0,-8.946848
CFR,0.2857142857142857,0.5,-8.964345
ESNT,0.5714285714285714,0.5,-9.0123415
QCOM,0.42857142857142855,0.0,-9.032797
NOC,0.5714285714285714,0.5,-9.068316
DLR,0.5714285714285714,0.5,-9.127376
MELI,0.5714285714285714,0.0,-9.137517
EPRT,0.6,0.0,-9.199446
HESM,0.5,0.5,-9.24232
BRO,0.7142857142857143,0.5,-9.377736
GFF,0.5714285714285714,0.0,-9.55168
IRT,0.5714285714285714,0.5,-9.662547
DKL,0.42857142857142855,0.0,-9.749348
ADC,0.2857142857142857,0.0,-9.8651705
ZM,0.25,0.0,-9.90303
CPK,0.5714285714285714,0.0,-9.932465
KO,0.2857142857142857,0.0,-9.977769
CRON,0.16666666666666666,0.5,-10.09691
ZG,0.42857142857142855,0.5,-10.107698
MDT,0.2857142857142857,0.5,-10.177955
VCEL,0.5714285714285714,0.5,-10.41542
Z,0.42857142857142855,0.5,-10.490084
MUSA,0.8571428571428571,0.5,-10.548991
KE,0.2857142857142857,0.5,-10.619431
DTE,0.2857142857142857,0.0,-10.75095
GRBK,0.7142857142857143,0.0,-10.751652
FNF,0.5714285714285714,0.0,-10.776544
XYL,0.5714285714285714,0.5,-10.776942
PFS,0.2857142857142857,0.0,-10.833961
GOLD,0.42857142857142855,0.5,-10.866174
MTRX,0.2857142857142857,0.0,-10.867378
EVI,0.14285714285714285,0.5,-10.8943615
FDX,0.42857142857142855,0.0,-10.984295
