effect,coef,se,p,horizon,n,p_fdr
magic_formula:low_beta,-4.7349709821149,2.092410605815365,0.023640233085933795,xret_T+126d,55410,0.17848714665167778
peg_value:net_debt_ebitda,3.247971910913556,1.4427899684011756,0.024374490593313338,xret_T+126d,55410,0.18143158958582103
darvas:capacity_expansion,1.7697387721941937,0.7980397416182197,0.026581618398254545,xret_T+126d,55410,0.19295472308374856
darvas:net_debt_ebitda,-1.883573931008653,0.8553082857177655,0.027650026379508443,xret_T+126d,55410,0.19795102828187136
net_margin:operating_margin,2.48866718358102,1.1374474905443657,0.02867395255452909,xret_T+126d,55410,0.20310716392791436
reversal_monthly:pead_positive_surprise,-2.0661353366288484,0.9601767794460496,0.03141089895007205,xret_T+126d,55410,0.21602310933468363
reversal_monthly:pb_value,1.7255034961688047,0.8110512777956556,0.033379389970867666,xret_T+126d,55410,0.2232352603381632
peg_value:eps_growth,-3.214491186862116,1.521906600693304,0.034673801878955676,xret_T+126d,55410,0.22956147726394022
sloan_quality:reversal_monthly,-1.6303337474834463,0.7723507233733214,0.03478328961175294,xret_T+126d,55410,0.22970919330067419
piotroski:operating_margin,-2.927296109148669,1.3921869002295681,0.03549547576765105,xret_T+126d,55410,0.23151133328653595
below_200dma:bull_cartel,3.8965530791796668,1.855851355567362,0.0357636835230392,xret_T+126d,55410,0.23208353672719448
magic_formula:peg_value,11.207369023353024,5.3575470594658485,0.03644885945432629,xret_T+126d,55410,0.23374053071131837
capacity_expansion:fcf_yield,-1.818877896676939,0.8704670743931104,0.036658921549784854,xret_T+126d,55410,0.23374053071131837
below_200dma:debt_reduction,-4.126276521245582,1.9860595540716564,0.03774439718627213,xret_T+126d,55410,0.23710136678082644
below_200dma:piotroski,3.2549622215194436,1.5688907101899223,0.03801525385174168,xret_T+126d,55410,0.23737012772355293
darvas:roic_value,2.338824047339491,1.136068164489136,0.03952294260583362,xret_T+126d,55410,0.2438945053076618
coffee_can:bull_cartel,-4.799771386229411,2.3550975055551886,0.04154642249139509,xret_T+126d,55410,0.25341394274265294
roce_plus,8.787276845738115,4.325831672802156,0.04221953365126557,xret_T+126d,55410,0.25692487568379857
pb_value:fcf_margin,-2.0773259127973818,1.0273831277845997,0.04318065294727332,xret_T+126d,55410,0.25977401944307127
ps_value:ev_sales,-3.708931848921873,1.835484449048869,0.04331261185243717,xret_T+126d,55410,0.25997433310061946
low_beta:eps_growth,-2.4932975499685135,1.2398411022514808,0.044327408242536497,xret_T+126d,55410,0.2642595491381983
new_highs:magic_formula,4.510981669141868,2.2467547677301827,0.044667035526997995,xret_T+126d,55410,0.2655673409858832
not_distress:pb_value,2.116221211275577,1.0552448908563021,0.04491695044819898,xret_T+126d,55410,0.26596890883371754
fcf_margin,5.25598699915308,2.626491130780194,0.045376872502106085,xret_T+126d,55410,0.26653846944433557
roce_plus:peg_value,3.929920794722226,1.9642093577618402,0.04541775058083745,xret_T+126d,55410,0.26653846944433557
bull_cartel:reversal_weekly,6.218245300792909,3.1467026298071876,0.04814178869398608,xret_T+126d,55410,0.2769729546040466
not_distress:growth_stocks,-5.521355670790642,2.8055104832001474,0.04906348391348345,xret_T+126d,55410,0.2791787869234423
operating_margin:net_debt_ebitda,-2.579870661212481,1.3108301614679274,0.04905426693215425,xret_T+126d,55410,0.2791787869234423
piotroski,-6.918918177413369,3.5431950054576937,0.050851095200628145,xret_T+126d,55410,0.28473358171212654
bull_cartel,-3.793471959610881,1.9421824682016395,0.05079583017767628,xret_T+126d,55410,0.28473358171212654
bull_cartel:pead_positive_surprise,-3.793471959803029,1.942182468208129,0.05079583016673087,xret_T+126d,55410,0.28473358171212654
graham_10y:roic_value,-2.5898939479730134,1.3265451327222584,0.050895452366759616,xret_T+126d,55410,0.28473358171212654
darvas:golden_cross,-1.2604621531426885,0.6581054052205395,0.055455636402497,xret_T+126d,55410,0.30020643521652995
golden_cross:net_margin,-1.6616661551628762,0.8669200348343804,0.05527011350408809,xret_T+126d,55410,0.30020643521652995
sloan_quality:ev_sales,2.9236113965722956,1.523616723026192,0.05500170413605858,xret_T+126d,55410,0.30020643521652995
graham_10y:reversal_weekly,3.089190940332927,1.619699773839308,0.05648673947094166,xret_T+126d,55410,0.3025255254185595
not_distress:graham_10y,2.3712483416050416,1.2480803978677395,0.05744409933616571,xret_T+126d,55410,0.3033370776569071
not_distress:reversal_monthly,-2.037668643532882,1.083310466880845,0.05997673393559866,xret_T+126d,55410,0.3123294346251037
growth_stocks:net_debt_ebitda,-7.0913162845067115,3.800302130219552,0.06204311387833763,xret_T+126d,55410,0.321746010113215
pb_value:net_debt_ebitda,-1.7595145812182218,0.9496653035725673,0.06391484922255174,xret_T+126d,55410,0.3271094010585514
not_distress:capacity_expansion,1.7826725750470769,0.9672528014890301,0.06532513696802225,xret_T+126d,55410,0.3316603774773384
