Symbol,t,fwd_ret,price_to_fcf,fcf_to_ebitda,altman_z,altman_zone,intrinsic_growth,mom_12_1,canonical
AVA,2017-06-01,0.24623525142669678,,-0.10638667511127531,0.9050062180138825,DISTRESS,0.062415187571183264,,70.0
AWRE,2017-06-01,-0.1855669617652893,29.111337782817966,0.5707503828483921,,DISTRESS,-0.011665665091184071,,60.0
AWX,2017-06-01,-0.08730161190032959,,-5.271860095389507,,DISTRESS,,,44.44444444444444
AXGN,2017-06-01,2.3434343338012695,,,6.955972950073618,SAFE,,,50.0
AXTI,2017-06-01,0.12030065059661865,22.469599340239053,0.8658990256864482,10.252639021644129,SAFE,-0.019158214759194596,,77.77777777777779
BA,2017-06-01,0.9451535940170288,22.65680186119955,1.0183367768595042,,DISTRESS,0.022323292720606052,,54.54545454545454
BBGI,2017-06-01,0.24439525604248047,274.78728024240996,0.21501651501836705,5.900248963569195,SAFE,-0.0011277305448881537,,40.0
BCDA,2017-06-01,-0.6470588445663452,,,,,,,25.0
BCHT,2017-06-01,-0.3829786777496338,,,3.021713301228264,SAFE,,,70.0
BCPC,2017-06-01,0.229170560836792,28.620130408816486,0.6171774664331582,4.979156199221804,SAFE,-0.03459881960798498,,60.0
BCRX,2017-06-01,0.1840606927871704,,,,DISTRESS,,,37.5
BFAM,2017-06-01,0.3041415214538574,33.301774876844235,0.4883265727978706,2.400016942100241,GREY,-0.006388708697696532,,58.333333333333336
BIIB,2017-06-01,0.17715346813201904,13.948965275119479,0.6696782157000566,5.486150131015859,SAFE,-0.004332848370930335,,58.333333333333336
BKD,2017-06-01,-0.4260185956954956,82.86548336269271,0.06433482582376047,0.43851303411012577,DISTRESS,,,58.333333333333336
BLBD,2017-06-01,0.04143643379211426,26.258011750416017,0.44743593439220547,,DISTRESS,0.0132041780871639,,70.0
BLMN,2017-06-01,0.04311966896057129,21.10899651964088,0.24888627568098953,1.5694266121576768,DISTRESS,0.04644695124515583,,63.63636363636363
BRFH,2017-06-01,-0.1710526943206787,,,,,,,44.44444444444444
BRKR,2017-06-01,0.11934447288513184,45.19763333583799,0.40475161987041036,,DISTRESS,-0.01696046732003909,,66.66666666666666
BRN,2017-06-01,-0.09677422046661377,19.347059241561002,0.42786069651741293,2.1829982967191217,GREY,-0.02882445294868021,,50.0
BTU,2017-06-01,0.8898054361343384,,-0.9517241379310345,0.6007218494656854,DISTRESS,,,50.0
BWA,2017-06-01,0.14086854457855225,13.512063579341644,0.8668394621739834,,DISTRESS,0.02049976243178244,,66.66666666666666
BWXT,2017-06-01,0.3925461769104004,24.067618944857937,0.6459800494794992,,DISTRESS,0.002309694985788769,,66.66666666666666
CABO,2017-06-01,-0.09894448518753052,28.62808374192924,0.39827779291140775,4.005579064355464,SAFE,-0.01638614783622143,,87.5
CAG,2017-06-01,-0.052963316440582275,15.519200189614002,,1.7207201069395763,DISTRESS,,,63.63636363636363
CAH,2017-06-01,-0.27865803241729736,7.543118374117451,0.8083870967741935,,DISTRESS,-0.015448638105996969,,81.81818181818183
CAL,2017-06-01,0.2653692960739136,7.753564024380444,0.7964467794825152,,DISTRESS,-0.007490660516773831,,54.54545454545454
CBOE,2017-06-01,0.1450866460800171,34.04321410674571,0.5405720957384705,31.79436613954627,SAFE,0.0,,55.55555555555556
