Symbol,ebit,capital_employed,cash,roace,years,roace_ex_cash,cash_pct_of_ce,roace_cv,f_score,f_max,f_tested,turnover,tier,roace_pct,roace_ex_cash_pct
ADANIENT,199175700000.0,2026881000000.0,100112300000.0,0.09826709116124725,4,0.10337291653118509,4.939229288744628,0.18565044864542898,4.0,7,7.0,5460913119.0,LARGE,9.826709116124725,10.337291653118509
ZEEL,3184000000.0,120635000000.0,31933000000.0,0.026393666846271813,4,0.03589547022615048,26.47075890081651,0.4043996065884126,3.0,7,7.0,2468773471.41,LARGE,2.6393666846271815,3.589547022615048
AUROPHARMA,54958200000.0,404631400000.0,107184800000.0,0.1358228748436231,4,0.18476661020835336,26.489491423552398,0.16842704682537704,4.0,7,7.0,1647848299.5,LARGE,13.58228748436231,18.476661020835337
PINELABS,2214100000.0,61128400000.0,94824800000.0,0.0362204801696102,4,,155.12396856452975,1.4896997411634003,6.0,7,7.0,1799599167.4099998,LARGE,3.62204801696102,
COCHINSHIP,10914103000.0,65494622000.0,25121096000.0,0.1666412091056881,4,0.27032820962925064,38.35596760906567,0.2526170574725429,3.0,7,7.0,2241166985.8,LARGE,16.664120910568812,27.032820962925065
INDIGO,39303000000.0,977311000000.0,545378000000.0,0.040215448306629105,4,0.09099327905022307,55.803935492386756,0.5887961167310702,3.5,7,6.0,4401342433.2,LARGE,4.0215448306629105,9.099327905022307
TATASTEEL,231357500000.0,2043364700000.0,120721400000.0,0.11322379211111946,4,0.12033303317365213,5.90797129851563,0.3925118083199062,5.0,7,7.0,5372563715.06,LARGE,11.322379211111947,12.033303317365213
PERSISTENT,24838940000.0,84522880000.0,20436420000.0,0.2938723810641568,4,0.3875848346124907,24.178565614422983,0.02181113853987474,4.666666666666667,7,6.0,3198143797.3500004,LARGE,29.38723810641568,38.75848346124907
LAURUSLABS,13429300000.0,68757600000.0,1126500000.0,0.19531368168755164,4,0.19856693148566265,1.6383643408146882,0.3957490372971665,7.0,7,7.0,2690867838.575,LARGE,19.531368168755165,19.856693148566265
ULTRACEMCO,127989000000.0,1075443500000.0,66558400000.0,0.1190104361595937,4,0.12686182004273827,6.188925778062725,0.1511363356522389,7.0,7,7.0,3179276303.0,LARGE,11.90104361595937,12.686182004273828
TATAPOWER,115742700000.0,1356121200000.0,57657900000.0,0.08534834497093623,4,0.08913821438002907,4.251677504930975,0.10055222301408216,4.0,7,7.0,2346934114.575,LARGE,8.534834497093623,8.913821438002907
INFY,4553000000.0,10930000000.0,3752000000.0,0.41655992680695336,4,0.6342992477013095,34.327538883806035,0.0548983982272455,5.833333333333333,7,6.0,13513770465.25,LARGE,41.655992680695334,63.42992477013095
IDEA,560430000000.0,1519490000000.0,79690000000.0,0.36882769876734955,4,0.3892415613279622,5.244522833319074,2.6087289230208355,5.0,7,7.0,7455252293.61,LARGE,36.882769876734955,38.92415613279622
ASHOKLEY,98594400000.0,679230600000.0,180072100000.0,0.14515600445562965,4,0.19752122822710622,26.511187805731957,0.09273378510775772,2.0,7,7.0,3417906554.35,LARGE,14.515600445562965,19.75212282271062
NESTLEIND,44521200000.0,75079700000.0,2056000000.0,0.5929858536994687,3,0.6096815143576675,2.7384233021708932,0.023902443763029992,3.0,7,7.0,2587213661.5,LARGE,59.29858536994686,60.96815143576675
